Start Game with: ({'size': array([8, 3]), 'quantity': 12}, {'size': array([6, 4]), 'quantity': 8}, {'size': array([6, 5]), 'quantity': 16}, {'size': array([22,  6]), 'quantity': 15}, {'size': array([29,  1]), 'quantity': 2})
{'stock_idx': 2, 'size': [21, 13], 'position': (0, 0)}
{'stock_idx': 2, 'size': [21, 13], 'position': (0, 13)}
{'stock_idx': 3, 'size': [21, 13], 'position': (0, 0)}
{'stock_idx': 3, 'size': [21, 13], 'position': (0, 13)}
{'stock_idx': 4, 'size': [21, 13], 'position': (0, 0)}
{'stock_idx': 4, 'size': [21, 13], 'position': (0, 13)}
{'stock_idx': 5, 'size': [21, 13], 'position': (0, 0)}
{'stock_idx': 5, 'size': [21, 13], 'position': (0, 13)}
{'stock_idx': 1, 'size': [21, 12], 'position': (0, 26)}
{'stock_idx': 5, 'size': [21, 12], 'position': (0, 26)}
{'stock_idx': 6, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 6, 'size': [21, 12], 'position': (0, 12)}
{'stock_idx': 6, 'size': [21, 12], 'position': (0, 24)}
{'stock_idx': 7, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 7, 'size': [21, 12], 'position': (0, 12)}
{'stock_idx': 7, 'size': [21, 12], 'position': (0, 24)}
{'stock_idx': 8, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 8, 'size': [21, 12], 'position': (0, 12)}
{'stock_idx': 9, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 9, 'size': [21, 12], 'position': (0, 12)}
{'stock_idx': 10, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 10, 'size': [21, 12], 'position': (0, 12)}
{'stock_idx': 11, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 12, 'size': [21, 12], 'position': (0, 0)}
{'stock_idx': 1, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 1, 'size': [11, 14], 'position': (21, 14)}
{'stock_idx': 2, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 2, 'size': [11, 14], 'position': (21, 14)}
{'stock_idx': 6, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 6, 'size': [11, 14], 'position': (21, 14)}
{'stock_idx': 7, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 7, 'size': [11, 14], 'position': (21, 14)}
{'stock_idx': 8, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 8, 'size': [11, 14], 'position': (21, 14)}
{'stock_idx': 9, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 9, 'size': [11, 14], 'position': (21, 14)}
{'stock_idx': 10, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 11, 'size': [11, 14], 'position': (21, 0)}
{'stock_idx': 12, 'size': [11, 14], 'position': (0, 12)}
{'stock_idx': 12, 'size': [11, 14], 'position': (11, 12)}
{'stock_idx': 13, 'size': [11, 14], 'position': (0, 0)}
{'stock_idx': 13, 'size': [11, 14], 'position': (11, 0)}
{'stock_idx': 13, 'size': [11, 14], 'position': (22, 0)}
{'stock_idx': 0, 'size': [4, 16], 'position': (21, 0)}
{'stock_idx': 0, 'size': [4, 16], 'position': (25, 0)}
{'stock_idx': 3, 'size': [4, 16], 'position': (21, 0)}
{'stock_idx': 3, 'size': [4, 16], 'position': (21, 16)}
{'stock_idx': 3, 'size': [4, 16], 'position': (25, 0)}
{'stock_idx': 3, 'size': [4, 16], 'position': (25, 16)}
{'stock_idx': 4, 'size': [4, 16], 'position': (21, 0)}
{'stock_idx': 4, 'size': [4, 16], 'position': (25, 0)}
{'stock_idx': 5, 'size': [4, 16], 'position': (21, 0)}
{'stock_idx': 5, 'size': [4, 16], 'position': (21, 16)}
{'stock_idx': 0, 'size': [7, 8], 'position': (21, 16)}
{'stock_idx': 1, 'size': [7, 8], 'position': (21, 28)}
{'stock_idx': 2, 'size': [7, 8], 'position': (0, 26)}
{'stock_idx': 2, 'size': [7, 8], 'position': (7, 26)}
{'stock_idx': 2, 'size': [7, 8], 'position': (14, 26)}
{'stock_idx': 2, 'size': [7, 8], 'position': (21, 28)}
{'stock_idx': 3, 'size': [7, 8], 'position': (0, 26)}
{'stock_idx': 3, 'size': [7, 8], 'position': (7, 26)}
{'stock_idx': 3, 'size': [7, 8], 'position': (14, 26)}
{'stock_idx': 4, 'size': [7, 8], 'position': (21, 16)}
{'stock_idx': 0, 'size': [23, 17], 'position': (0, 0)}
{'stock_idx': 0, 'size': [23, 17], 'position': (0, 17)}
{'stock_idx': 1, 'size': [23, 17], 'position': (0, 0)}
{'stock_idx': 2, 'size': [23, 17], 'position': (0, 0)}
{'stock_idx': 3, 'size': [23, 17], 'position': (0, 0)}
{'stock_idx': 2, 'size': [25, 15], 'position': (0, 17)}
{'stock_idx': 3, 'size': [25, 15], 'position': (0, 17)}
{'stock_idx': 4, 'size': [25, 15], 'position': (0, 0)}
{'stock_idx': 1, 'size': [15, 12], 'position': (0, 17)}
{'stock_idx': 1, 'size': [15, 12], 'position': (15, 17)}
{'stock_idx': 3, 'size': [15, 12], 'position': (23, 0)}
{'stock_idx': 4, 'size': [15, 12], 'position': (0, 15)}
{'stock_idx': 4, 'size': [15, 12], 'position': (0, 27)}
{'stock_idx': 4, 'size': [15, 12], 'position': (15, 15)}
{'stock_idx': 4, 'size': [15, 12], 'position': (15, 27)}
{'stock_idx': 5, 'size': [15, 12], 'position': (0, 0)}
{'stock_idx': 5, 'size': [15, 12], 'position': (0, 12)}
{'stock_idx': 5, 'size': [15, 12], 'position': (0, 24)}
{'stock_idx': 5, 'size': [15, 12], 'position': (15, 0)}
{'stock_idx': 5, 'size': [15, 12], 'position': (15, 12)}
{'stock_idx': 5, 'size': [15, 12], 'position': (15, 24)}
{'stock_idx': 6, 'size': [15, 12], 'position': (0, 0)}
{'stock_idx': 6, 'size': [15, 12], 'position': (15, 0)}
{'stock_idx': 7, 'size': [15, 12], 'position': (0, 0)}
{'stock_idx': 7, 'size': [15, 12], 'position': (0, 12)}
{'stock_idx': 7, 'size': [15, 12], 'position': (0, 24)}
{'stock_idx': 2, 'size': [8, 20], 'position': (25, 0)}
{'stock_idx': 3, 'size': [8, 20], 'position': (25, 12)}
{'stock_idx': 7, 'size': [8, 20], 'position': (15, 0)}
{'stock_idx': 7, 'size': [8, 20], 'position': (23, 0)}
{'stock_idx': 8, 'size': [8, 20], 'position': (0, 0)}
{'stock_idx': 8, 'size': [8, 20], 'position': (8, 0)}
{'stock_idx': 8, 'size': [8, 20], 'position': (16, 0)}
{'stock_idx': 8, 'size': [8, 20], 'position': (24, 0)}
{'stock_idx': 9, 'size': [8, 20], 'position': (0, 0)}
{'stock_idx': 0, 'size': [7, 19], 'position': (23, 0)}
{'stock_idx': 7, 'size': [7, 19], 'position': (31, 0)}
{'stock_idx': 3, 'size': [23, 5], 'position': (0, 32)}
{'stock_idx': 6, 'size': [23, 5], 'position': (0, 12)}
{'stock_idx': 6, 'size': [23, 5], 'position': (0, 17)}
{'stock_idx': 7, 'size': [23, 5], 'position': (15, 20)}
{'stock_idx': 7, 'size': [23, 5], 'position': (15, 25)}
{'stock_idx': 7, 'size': [23, 5], 'position': (15, 30)}
{'stock_idx': 8, 'size': [23, 5], 'position': (0, 20)}
{'stock_idx': 9, 'size': [23, 5], 'position': (0, 20)}
{'stock_idx': 9, 'size': [23, 5], 'position': (8, 0)}
{'stock_idx': 9, 'size': [23, 5], 'position': (8, 5)}
{'stock_idx': 9, 'size': [23, 5], 'position': (8, 10)}
{'stock_idx': 9, 'size': [23, 5], 'position': (8, 15)}
{'stock_idx': 10, 'size': [23, 5], 'position': (0, 0)}
{'stock_idx': 10, 'size': [23, 5], 'position': (0, 5)}
{'stock_idx': 10, 'size': [23, 5], 'position': (0, 10)}
{'stock_idx': 1, 'size': [8, 14], 'position': (23, 0)}
{'stock_idx': 9, 'size': [8, 14], 'position': (31, 0)}
{'stock_idx': 10, 'size': [8, 14], 'position': (0, 15)}
{'stock_idx': 10, 'size': [8, 14], 'position': (8, 15)}
{'stock_idx': 10, 'size': [8, 14], 'position': (16, 15)}
{'stock_idx': 10, 'size': [8, 14], 'position': (23, 0)}
{'stock_idx': 10, 'size': [8, 14], 'position': (24, 14)}
{'stock_idx': 10, 'size': [8, 14], 'position': (31, 0)}
{'stock_idx': 10, 'size': [8, 14], 'position': (32, 14)}
{'stock_idx': 11, 'size': [8, 14], 'position': (0, 0)}
{'stock_idx': 11, 'size': [8, 14], 'position': (8, 0)}
{'stock_idx': 11, 'size': [8, 14], 'position': (16, 0)}
{'stock_idx': 11, 'size': [8, 14], 'position': (24, 0)}
{'stock_idx': 12, 'size': [8, 14], 'position': (0, 0)}
{'stock_idx': 12, 'size': [8, 14], 'position': (0, 14)}
{'stock_idx': 12, 'size': [8, 14], 'position': (8, 0)}
{'stock_idx': 12, 'size': [8, 14], 'position': (8, 14)}
{'stock_idx': 12, 'size': [8, 14], 'position': (16, 0)}
{'stock_idx': 12, 'size': [8, 14], 'position': (16, 14)}
{'stock_idx': 9, 'size': [17, 5], 'position': (23, 20)}
{'stock_idx': 10, 'size': [17, 5], 'position': (0, 29)}
{'stock_idx': 10, 'size': [17, 5], 'position': (0, 34)}
{'stock_idx': 10, 'size': [17, 5], 'position': (17, 29)}
{'stock_idx': 10, 'size': [17, 5], 'position': (17, 34)}
{'stock_idx': 11, 'size': [17, 5], 'position': (0, 14)}
{'stock_idx': 11, 'size': [17, 5], 'position': (17, 14)}
{'stock_idx': 3, 'size': [5, 16], 'position': (33, 12)}
{'stock_idx': 5, 'size': [5, 16], 'position': (30, 0)}
{'stock_idx': 5, 'size': [5, 16], 'position': (30, 16)}
{'stock_idx': 8, 'size': [5, 16], 'position': (32, 0)}
{'stock_idx': 12, 'size': [5, 16], 'position': (24, 0)}
{'stock_idx': 12, 'size': [5, 16], 'position': (24, 16)}
{'stock_idx': 12, 'size': [5, 16], 'position': (29, 0)}
{'stock_idx': 12, 'size': [5, 16], 'position': (29, 16)}
{'stock_idx': 12, 'size': [5, 16], 'position': (34, 0)}
{'stock_idx': 12, 'size': [5, 16], 'position': (34, 16)}
{'stock_idx': 13, 'size': [5, 16], 'position': (0, 0)}
{'stock_idx': 13, 'size': [5, 16], 'position': (5, 0)}
{'stock_idx': 13, 'size': [5, 16], 'position': (10, 0)}
{'stock_idx': 13, 'size': [5, 16], 'position': (15, 0)}
{'stock_idx': 0, 'size': [6, 7], 'position': (23, 19)}
{'stock_idx': 0, 'size': [6, 7], 'position': (23, 26)}
{'stock_idx': 2, 'size': [6, 7], 'position': (25, 20)}
{'stock_idx': 3, 'size': [6, 7], 'position': (33, 28)}
{'stock_idx': 4, 'size': [6, 7], 'position': (25, 0)}
{'stock_idx': 4, 'size': [6, 7], 'position': (25, 7)}
{'stock_idx': 6, 'size': [6, 7], 'position': (23, 12)}
{'stock_idx': 8, 'size': [6, 7], 'position': (23, 20)}
{'stock_idx': 1, 'size': [3, 7], 'position': (30, 14)}
{'stock_idx': 1, 'size': [3, 7], 'position': (30, 21)}
{'stock_idx': 2, 'size': [3, 7], 'position': (31, 20)}
